DATAFLOW,LAST UPDATE,freq,unit,nace_r2,lcstruct,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Austria,2016,0.6,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Austria,2017,-0.1,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Austria,2018,2.6,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Austria,2019,0.6,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Austria,2020,3.0,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Austria,2021,1.0,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Austria,2022,1.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Austria,2023,8.8,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Austria,2024,9.1,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Austria,2025,4.5,p,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Belgium,2016,0.7,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Belgium,2017,2.3,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Belgium,2018,2.3,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Belgium,2019,2.7,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Belgium,2020,1.6,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Belgium,2021,1.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Belgium,2022,7.0,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Belgium,2023,7.9,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Belgium,2024,2.5,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Bulgaria,2016,3.5,,
