DATAFLOW,LAST UPDATE,freq,unit,coicop18,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2018,1.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2019,1.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2020,2.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2021,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2022,6.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2023,5.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2024,2.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Albania,2025,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2016,1.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2017,2.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2018,2.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2019,1.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2020,1.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2021,2.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2022,8.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2023,7.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2024,2.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Austria,2025,3.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2016,1.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2017,2.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2018,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2019,1.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2020,0.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2021,3.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2022,10.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2023,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2024,4.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Belgium,2025,3.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2016,-1.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2017,1.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2018,2.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2019,2.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2020,1.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2021,2.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2022,13.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2023,8.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2024,2.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Bulgaria,2025,3.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2016,-0.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2017,0.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2018,0.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2019,0.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2020,-0.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2021,0.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2022,2.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2023,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2024,1.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Switzerland,2025,0.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2016,-1.2,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2017,0.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2018,0.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2019,0.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2020,-1.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2021,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2022,8.1,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2023,3.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2024,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Cyprus,2025,0.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2016,0.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2017,2.5,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2018,1.9,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2019,2.6,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2020,3.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2021,3.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2022,14.8,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2023,12.0,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2024,2.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Czechia,2025,2.3,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Germany,2016,0.4,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Germany,2017,1.7,,
ESTAT:TEC00118(1.0),16/04/26 11:00:00,Annual,Annual average rate of change,Total,Germany,2018,1.9,,
